word,count,relative_use
channels,2,1.70686329732e-05
instruct,1,8.53431648659e-06
specially,2,1.70686329732e-05
exchequer,1,8.53431648659e-06
service,140,0.00119480430812
similarly,4,3.41372659464e-05
needed,52,0.000443784457303
master,1,8.53431648659e-06
listed,2,1.70686329732e-05
hypothetical,1,8.53431648659e-06
bitter,1,8.53431648659e-06
ranging,1,8.53431648659e-06
bounty,1,8.53431648659e-06
wisdom,18,0.000153617696759
profit--and,1,8.53431648659e-06
outlay,3,2.56029494598e-05
showed,8,6.82745318927e-05
anniversaries,1,8.53431648659e-06
tree,3,2.56029494598e-05
nations,46,0.000392578558383
project,8,6.82745318927e-05
idle,1,8.53431648659e-06
readjusted,4,3.41372659464e-05
feeling,16,0.000136549063785
acquisition,8,6.82745318927e-05
entail,2,1.70686329732e-05
willingness,3,2.56029494598e-05
untrained,1,8.53431648659e-06
dozen,3,2.56029494598e-05
affairs,22,0.000187754962705
concrete,2,1.70686329732e-05
responsible,20,0.000170686329732
recommended,34,0.000290166760544
causing,1,8.53431648659e-06
absorbed,1,8.53431648659e-06
responsibly,1,8.53431648659e-06
shipments,2,1.70686329732e-05
committing,1,8.53431648659e-06
shall,177,0.00151057401813
undervaluations,2,1.70686329732e-05
object,19,0.000162152013245
wells,2,1.70686329732e-05
simplify,2,1.70686329732e-05
mouth,5,4.2671582433e-05
letter,7,5.97402154061e-05
conceded,1,8.53431648659e-06
retaining,1,8.53431648659e-06
drought,1,8.53431648659e-06
morality,3,2.56029494598e-05
expound,1,8.53431648659e-06
antitrust,32,0.000273098127571
camp,1,8.53431648659e-06
consummate,1,8.53431648659e-06
comprise,1,8.53431648659e-06
came,8,6.82745318927e-05
saying,3,2.56029494598e-05
departing,1,8.53431648659e-06
meetings,1,8.53431648659e-06
undue,14,0.000119480430812
participate,6,5.12058989196e-05
abreast,1,8.53431648659e-06
lessons,1,8.53431648659e-06
vexations,1,8.53431648659e-06
than,185,0.00157884855002
rico,13,0.000110946114326
rich,2,1.70686329732e-05
heartily,4,3.41372659464e-05
emphatically,1,8.53431648659e-06
plate,1,8.53431648659e-06
cubic,1,8.53431648659e-06
honda,1,8.53431648659e-06
denounce,2,1.70686329732e-05
foremost,3,2.56029494598e-05
platt,1,8.53431648659e-06
altogether,4,3.41372659464e-05
sittings,1,8.53431648659e-06
adherence,2,1.70686329732e-05
reposed,1,8.53431648659e-06
twelve-month,1,8.53431648659e-06
respond,1,8.53431648659e-06
leasing,3,2.56029494598e-05
disaster,3,2.56029494598e-05
fair,14,0.000119480430812
expediency,3,2.56029494598e-05
consummation,1,8.53431648659e-06
standpoints,1,8.53431648659e-06
austria-hungary,1,8.53431648659e-06
result,61,0.000520593305682
fail,6,5.12058989196e-05
resigned,1,8.53431648659e-06
best,44,0.00037550992541
ambitions,1,8.53431648659e-06
slack-water,1,8.53431648659e-06
pressures,2,1.70686329732e-05
stamps,5,4.2671582433e-05
r,2,1.70686329732e-05
preserve,7,5.97402154061e-05
discipline,6,5.12058989196e-05
never,23,0.000196289279192
extend,10,8.53431648659e-05
nature,8,6.82745318927e-05
authorizing,4,3.41372659464e-05
conscienceless,1,8.53431648659e-06
extent,43,0.000366975608923
defiance,2,1.70686329732e-05
debt,23,0.000196289279192
tyranny,1,8.53431648659e-06
patented,2,1.70686329732e-05
accident,1,8.53431648659e-06
violators,1,8.53431648659e-06
country,228,0.00194582415894
demanded,2,1.70686329732e-05
